route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Lynfield To Waikowhai Intermediate,3,,NZBML,01955-20170524122152_v54.17,,019
City Centre To New Lynn V Blockhouse Bay Rd And Green Bay(U),3,,PC,19502-20170524122152_v54.17,,195
New Lynn To Glen Eden Via Titirangi,3,,NZBGW,17202-20170524122152_v54.17,,172
Mayoral Dr To Browns Bay,3,,NZBNS,87502-20170524122152_v54.17,,875
Te Huruhi School & Waiheke Primary To Piemelon Bay Rd,3,,WBC,09554-20170524122152_v54.17,,095
Beach Haven To Westlake Schools,3,,BTL,00657-20170524122152_v54.17,,006
Panmure To Bucklands Beach Via Vivian Wilson Dr (S),3,,HE,55212-20170524122152_v54.17,,552
Downtown To International Airport Via Dominion Rd,3,,ABEXP,30008-20170524122152_v54.17,,SKY
Whenuapai To Westgate Via Hobsonville Wharf,3,,RTH,09307-20170524122152_v54.17,,093
Manurewa Interchange To Otara / Mit Via Mahia Rd,3,,RTH,36101-20170524122152_v54.17,,361
Takapuna To Long Bay Via Forrest Hill,3,,NZBNS,87904-20170524122152_v54.17,,879
Onehunga To Pakuranga Plaza Via Penrose,3,,HE,35802-20170524122152_v54.17,,358
Rosebank Rd To City Centre,3,,NZBGW,22101-20170524122152_v54.17,,221
Beach Haven Wharf To Takapuna Via Birkdale Rd,3,,BTL,97505-20170524122152_v54.17,,975
New Lynn To City Centre Express,3,,NZBML,22303-20170524122152_v54.17,,223X
Civic Centre To Takapuna And East Coast Bays (S),3,,NZBNS,52805-20170524122152_v54.17,,N83
Otahuhu Station To Mangere Town Centre Via Tidal Road,3,,GBT,32602-20170524122152_v54.17,,326
Devonport To Belmont Schools Via Cheltenham,3,,RTH,08351-20170524122152_v54.17,,083
Epsom Girls Grammar To Herne Bay,3,,NZBML,02352-20170524122152_v54.17,,023
Takapuna To Glenfield Via Unsworth Heights,3,,RTH,90504-20170524122152_v54.17,,905
Glenfield Schools To Windy Ridge,3,,BTL,07754-20170524122152_v54.17,,077
Britomart To Mission Heights Via Botany Town Centre,3,,HE,50002-20170524122152_v54.17,,500
Meadowbank To St Thomas Primary,3,,NZBML,07351-20170524122152_v54.17,,073
Highbury To Newmarket,3,,BTL,96605-20170524122152_v54.17,,966
Mangere To Otahuhu Schools,3,,GBT,04151-20170524122152_v54.17,,041
Onetangi Direct To Matiatia Wharf,3,,WBC,00401-20170524122152_v54.17,,4
