"School","L1","L2","L3","UE","Decile","Region"
"Rotorua Girls' High School",0.915,0.965,0.938,0.469,3,"Taupo"
"Rotorua Lakes High School",0.946,0.975,0.857,0.488,5,"Taupo"
"Roxburgh Area School",1,1,0.714,0.571,7,"Dunedin/Otago"
"Ruapehu College",0.846,0.897,0.857,0.4,2,"Palmerston North/Manawatu"
"Ruawai College",0.654,0.957,0.842,0.737,4,"Northland"
"Rudolf Steiner School (Christchurch)",NA,0.667,0.737,0.632,8,"Christchurch/Canterbury"
"Rutherford College",0.761,0.788,0.724,0.492,5,"Auckland"
"Sacred Heart College (Auckland)",0.981,0.98,0.955,0.811,8,"Auckland"
"Sacred Heart College (Lower Hutt)",0.933,0.909,0.881,0.72,7,"Wellington/Kapiti"
"Sacred Heart College (Napier)",0.891,0.917,0.897,0.718,5,"Hawkes Bay"
"Sacred Heart Girls' College (Hamilton)",0.899,0.953,0.933,0.78,7,"Hamilton/Waikato"
"Sacred Heart Girls' College (New Plymouth)",0.982,0.979,0.955,0.82,8,"New Plymouth/Taranaki"
"Samuel Marsden Collegiate School",1,0.986,0.969,0.969,10,"Wellington/Kapiti"
"Samuel Marsden Collegiate School - Whitby",0.957,1,0.905,0.905,10,"Wellington/Kapiti"
"Sancta Maria College",0.971,0.959,0.947,0.827,7,"Auckland"
"Scots College",0.944,0.93,0.944,0.944,10,"Wellington/Kapiti"
"Selwyn College",0.965,0.973,0.941,0.859,4,"Auckland"
"Shirley Boys' High School",0.902,0.935,0.77,0.541,6,"Christchurch/Canterbury"
"Sir Edmund Hillary Collegiate Senior School",0.714,0.857,0.852,0.222,1,"Auckland"
"Solway College",0.875,0.952,1,0.75,7,"Wairarapa"
"South Otago High School",0.891,0.971,0.957,0.623,6,"Dunedin/Otago"
"South Westland Area School",0.9,1,0.75,NA,5,"West Coast"
"Southern Cross Campus College",0.6,0.729,0.739,0.232,1,"Auckland"
"Southland Boys' High School",0.86,0.893,0.767,0.492,6,"Invercargill/Southland"
"Southland Girls' High School",0.887,0.93,0.854,0.756,5,"Invercargill/Southland"
"Spotswood College",0.971,1,0.932,0.472,5,"New Plymouth/Taranaki"
"St Andrew's College",0.975,0.99,0.977,0.891,10,"Christchurch/Canterbury"
"St Bede's College",0.885,0.942,0.782,0.627,9,"Christchurch/Canterbury"
"St Bernard's College",0.892,0.9,0.866,0.627,6,"Wellington/Kapiti"
"St Catherine's College",0.97,0.969,0.846,0.667,6,"Wellington/Kapiti"
"St Cuthbert's College",0.976,0.993,0.984,0.984,10,"Auckland"
"St Dominic's College (Henderson)",0.864,0.931,0.875,0.615,5,"Auckland"
"St Hilda's Collegiate School",0.905,0.967,0.962,0.897,10,"Dunedin/Otago"
"St John's College (Hamilton)",0.994,0.98,0.962,0.573,7,"Hamilton/Waikato"
"St John's College (Hastings)",0.986,0.973,0.971,0.618,4,"Hawkes Bay"
"St Joseph's Maori Girls' College",1,1,1,0.889,2,"Hawkes Bay"
"St Kentigern College",0.997,0.993,0.98,0.894,10,"Auckland"
